,date,Other Water_e_track,Pacific Ocean_e_track,Gulf of California_e_track,Atlantic Ocean_e_track,Gulf of Mexico_e_track,Other Land_e_track,Western US_e_track,Southern US_e_track,Midwestern US_e_track,Colorado_e_track,Eastern Plains_e_track,Front Range_e_track,Pikes Peak_e_track,Arkansas Basin_e_track,High Mountain Valley_e_track
0,2000-01-01 00:00:00,8042.574794012333,4349084.9512779005,6382.884692013264,854599.611052634,1934.162124201026,58054.98983023991,1980851.4313719848,170.94983419842902,3696.024621677585,441950.99205103144,28318.34949232638,170407.81185913086,9301.073272705078,431.29907923564315,64577.11827087402
1,2000-01-02 00:00:00,10999.343512942602,4396599.590817767,21491.728424072266,1084663.6694921993,2495.4507534109957,85962.74998815231,1259058.010005609,486.02797481755584,1022.3137007427438,1409131.1007039547,57711.698968052864,547892.2291259766,106042.31065368652,24271.44216632843,290040.53857421875
2,2000-01-03 00:00:00,14548.7446995612,4230650.447054281,53290.88123321533,1214330.4178286134,18742.466079319365,122390.02327813875,331804.1503557553,4643.959433681106,5226.424684257581,121880.05709613115,69238.96623402834,374064.3601074219,6068.854589223862,560.3822497427464,9059.644638359547
3,2000-01-04 00:00:00,21122.603855161185,4775540.300822457,88394.01195144653,1426604.9541975695,272076.8367540854,103437.9344366421,67080.77676261656,6334.133637427953,607.2230908203346,1783.45728765917,3.2697471282444894,129.98116207122803,0.19600526406429708,1.500222128815949,11.096128918230534
4,2000-01-05 00:00:00,25003.287201364623,4133948.988827388,45780.902789115906,1947277.1007539988,164996.2385136038,159587.57599530154,58110.68821372977,3089.3809700452257,90.0306283678583,26438.46329063922,112.38611923158169,6105.731971740723,45.46668644249439,7.35404259711504,1679.2839056253433
5,2000-01-06 00:00:00,27576.369159769518,2429489.75518734,67756.3152809143,2216625.3949880344,22745.555118783377,215719.61534418614,51947.74305288798,2200.291693932377,238.0850709428778,1597.4688034455758,12.02241649699863,236.73078398406506,14.13300265185535,2.7843430715147406,194.26588416099548
6,2000-01-07 00:00:00,42593.07815727464,3935498.1145563065,142535.16226959229,2387792.754305978,14701.92372217805,275828.0250824531,85534.85398034929,1091.1872005156474,67.12462104366568,2788.837926107575,1.0572599553561304,18.931177588179708,2.6518161662388593,0.06457263595075347,76.87940175458789
7,2000-01-08 00:00:00,57441.77782880506,7984396.288908076,150398.41175079346,2361945.63964983,13134.126175660494,352484.67217107734,443676.1755504165,109.27793685007782,5.63764009251463,14836.21809872362,0.40026315342402086,752.2706138342619,1.109826194238849,0.07999171537812799,63.4867495931685
8,2000-01-09 00:00:00,77294.6319914376,4029994.6945116073,188595.7807006836,2513580.082935631,36094.240629256274,588120.9333217324,960103.6107467344,3321.914777694596,78.14784279446425,47532.93803769024,1250.4667376205325,14586.220891401172,0.6868686880916357,3.5522514856420457,908.7929541710764
9,2000-01-10 00:00:00,86759.63644366746,4354208.993551242,209858.82024383545,2278232.8913551513,140707.42904943955,722402.7351684009,660646.6668861709,6641.355775859491,38.97377129130633,236631.65448587388,2092.039039088413,135100.8170928955,2.4616838339716196,8.773302745074034,7181.662964813411
10,2000-01-11 00:00:00,85834.49839497638,5569795.876945671,197099.11183547974,1741764.4923786588,144347.04217024357,867461.5215862314,113963.07968899098,16250.890467926161,201.882457109401,28921.504306785762,74.04633206129074,8762.748356223106,19.938434526324272,79.57793852686882,626.1763628721237
11,2000-01-12 00:00:00,93137.6331554456,7038461.569049317,231539.64288711548,1409739.1519396016,462455.5878273768,964663.9749143331,84510.77193564929,14570.158237409763,2875.8773826302495,64207.29833047092,79.34493079781532,14432.721360445023,24.503577932715416,201.75698351860046,1690.5080826580524
12,2000-01-13 00:00:00,75950.35213015089,8171972.641405459,259359.3053665161,719791.5519843186,618186.9773052287,733471.7252195369,14773.69662450373,29190.55602974852,1921.4747069203222,2593.750479871873,0.6552294986322522,40.8386013507843,1.6565813021734357,1.630999525077641,17.769858952611685
13,2000-01-14 00:00:00,75805.25581412096,9206897.97864017,68628.58872079849,773788.5335120164,495578.67244783323,510262.18956801004,15656.522827413355,13820.29046982748,65.79118118619226,430.0306605382648,0.42519199766684324,51.27564430073835,1.0705664971319493,0.2904479001299478,32.00466609722935
14,2000-01-15 00:00:00,58696.12942954858,10430159.173616007,16531.37773013115,667063.0836537892,98049.16235888284,301469.60856435285,28727.027214107307,662.472915795166,6.547855884267847,455.72336513659684,0.1133023714646697,7.520881229778752,1.6530889987479895,0.08765262609813362,23.27765929605812
15,2000-01-16 00:00:00,35293.85949220324,12191783.73677555,16780.814699590206,164064.48326879874,22678.030184181873,91687.7178943862,60559.223525342284,89.49749248581065,9.810597072682867,33834.3799948213,0.11341833072947338,621.89406391792,0.44635615838342346,0.04462015352328308,193.76182398025412
16,2000-01-17 00:00:00,33125.0720162024,12997075.896675564,12696.7441675663,58176.817954993036,6711.43920117295,45506.226818015966,189636.11600649537,73.40432836580294,9.909804319715477,21935.101704270623,0.5008861757378327,4087.156436327845,2.856434504094068,0.10739448052481748,175.18762800097466
17,2000-01-18 00:00:00,28919.72541381201,12933954.873425866,3463.1516385674477,19704.15769540213,1364.6807338666176,29438.947184797613,286200.4999187234,12.869331006937507,9.179491366958246,41653.76679546479,884.1164672921877,41466.98638343811,486.181279450655,1.3839395401300862,1758.6082205474377
18,2000-01-19 00:00:00,24166.95150525035,15870879.101264732,973.3199761807919,11596.532673039414,375.85352907203435,32744.65827848749,315369.4880335204,21.799723496089115,32.10542124439962,29829.304074795335,338.9659166140482,34355.32490707096,0.8963520193938166,0.49439242493826896,492.4987949207425
